dataset,n,R,metodo,tiempo
mejor-caso-BT,521,1000,BT,0.111595
mejor-caso-BT,522,1000,BT,0.110004
mejor-caso-BT,523,1000,BT,0.110406
mejor-caso-BT,524,1000,BT,0.109397
mejor-caso-BT,525,1000,BT,0.10803
mejor-caso-BT,526,1000,BT,0.113649
mejor-caso-BT,527,1000,BT,0.10405
mejor-caso-BT,528,1000,BT,0.110222
mejor-caso-BT,529,1000,BT,0.110335
mejor-caso-BT,530,1000,BT,0.111878
mejor-caso-BT,531,1000,BT,0.10394
mejor-caso-BT,532,1000,BT,0.118915
mejor-caso-BT,533,1000,BT,0.120413
mejor-caso-BT,534,1000,BT,0.116183
mejor-caso-BT,535,1000,BT,0.113102
mejor-caso-BT,536,1000,BT,0.112632
mejor-caso-BT,537,1000,BT,0.11674
mejor-caso-BT,538,1000,BT,0.112092
mejor-caso-BT,539,1000,BT,0.116838
mejor-caso-BT,540,1000,BT,0.111682
mejor-caso-BT,541,1000,BT,0.117249
mejor-caso-BT,542,1000,BT,0.115508
mejor-caso-BT,543,1000,BT,0.118403
mejor-caso-BT,544,1000,BT,0.120277
mejor-caso-BT,545,1000,BT,0.120184
mejor-caso-BT,546,1000,BT,0.120064
mejor-caso-BT,547,1000,BT,0.121189
mejor-caso-BT,548,1000,BT,0.11499
mejor-caso-BT,549,1000,BT,0.1163
mejor-caso-BT,550,1000,BT,0.108419
mejor-caso-BT,551,1000,BT,0.109105
mejor-caso-BT,552,1000,BT,0.120754
mejor-caso-BT,553,1000,BT,0.115473
mejor-caso-BT,554,1000,BT,0.120971
mejor-caso-BT,555,1000,BT,0.119918
mejor-caso-BT,556,1000,BT,0.118122
mejor-caso-BT,557,1000,BT,0.111393
mejor-caso-BT,558,1000,BT,0.110725
mejor-caso-BT,559,1000,BT,0.12181
mejor-caso-BT,560,1000,BT,0.124408
mejor-caso-BT,561,1000,BT,0.122523
mejor-caso-BT,562,1000,BT,0.127428
mejor-caso-BT,563,1000,BT,0.123249
mejor-caso-BT,564,1000,BT,0.118967
mejor-caso-BT,565,1000,BT,0.120092
mejor-caso-BT,566,1000,BT,0.121602
mejor-caso-BT,567,1000,BT,0.118813
mejor-caso-BT,568,1000,BT,0.12395
mejor-caso-BT,569,1000,BT,0.148017
mejor-caso-BT,570,1000,BT,0.13888
mejor-caso-BT,571,1000,BT,0.122657
mejor-caso-BT,572,1000,BT,0.113236
